,cagr,volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_factor,avg_win_return,avg_loss_return,skewness,kurtosis,total_return,n_periods,gross_leverage,turnover_per_bar,ann_turnover,tcost_bps,realized_cost_bps,cost_drag_ann
ts_seasonality_ss,-0.5030877806627194,0.13819753424056003,-4.9913342456033645,-6.966214994389168,-0.9735008895941242,-0.5167820451324587,0.48894412622933103,0.9547299178061911,0.0003148438069090682,-0.0003192855214541193,0.013504876219266411,7.270781147412821,-0.49579029509298433,92530.0,2.602582115144717,0.07794507122782314,7365.809231029287,0.5,1.3366233255883098,0.9845312430027436
ts_seasonality_index,-0.7203239595119146,0.13779677000203425,-9.177456558235175,-12.242175874007788,-1.0047628045103103,-0.7169094599028054,0.48363597060095115,0.9125349469143226,0.00028868612679683965,-0.0002998702796066762,1.1192282342820048,61.19069359570986,-0.7127571995362358,92520.0,2.09047576851675,0.059694358892289766,5641.116915321383,0.5,2.587398367845617,1.4595816699528847
xs_seasonality,-0.7564105838648028,0.1384826713370139,-10.128861652472873,-14.799673439619587,-1.005631625640122,-0.7521746180002237,0.48217875283691775,0.9140084070458672,0.00032719781151825916,-0.00033728277430647137,-0.016866607750283785,4.964312397324526,-0.7491324565498645,92530.0,2.6258820011703636,0.10903070279127211,10303.401413775215,0.5,1.3730223074296721,1.4146799983515792
ts_mean_reversion_ss,-0.8163520538373796,0.1485450955120729,-11.334509808687885,-14.225679361557503,-1.0032803079212618,-0.8136829232986875,0.4813141683778234,0.889761900564693,0.00029877392577726285,-0.00031527559010785777,-0.20471028372722994,16.24584266666973,-0.8097479106883096,92530.0,1.0196498560105476,0.14284338207239267,13498.699605841108,0.5,1.2816734242184684,1.7300924546314862
ts_mean_reversion_index,-0.8515071888050127,0.14496664524101283,-13.083634669101603,-15.65598547818822,-1.0010257230962432,-0.8506346731742727,0.4708387375702551,0.86559846366515,0.00027453944184405746,-0.00028553438056159384,-0.3270378887571567,13.088874196125424,-0.8454531446817476,92520.0,1.4346189584561946,0.1782549938946006,16845.096923039757,0.5,0.9900581575759038,1.6677625623812267
ts_momentum_ss,-0.908476520441412,0.14396738360728062,-16.536845663114992,-23.11757843735206,-1.004780662493302,-0.9041540650146301,0.46422781800497137,0.8549023594046289,0.0003197495785314682,-0.00032777677766742384,0.12048136670781695,10.109297106109658,-0.9037986872703493,92530.0,2.5355739963460726,0.15017369914661677,14191.414569355285,0.5,1.32889838976275,1.8858947969671869
ts_regime_adaptive_index,-0.9202923375851053,0.14506863699904296,-17.36303216489617,-21.72937226842748,-1.0026156166024756,-0.9178914853766832,0.4731841763942931,0.8394181903723359,0.00029445511798182906,-0.0003187886680338452,-0.4990096572624052,16.89648622296612,-0.9159541523362912,92520.0,1.8367954852607957,0.17154892080139963,16211.373015732266,0.5,1.4304120924578314,2.3188943997048015
ts_momentum_index,-0.9272092450083447,0.14192864501233335,-18.38992530706975,-24.28897914458236,-1.0044311677913647,-0.9231187509316117,0.46413748378728925,0.8341100514116971,0.0002992091373384022,-0.0003143033879603826,-0.24569760728891937,14.22812007903692,-0.9231013994344498,92520.0,1.9242077911208586,0.11051210598945031,10443.394016003054,0.5,2.4875550583923607,2.597851761129291
xs_mean_reversion,-0.8418803531750594,0.09901775183433344,-18.577306245147987,-26.8927278372507,-1.0070129548397273,-0.8360174008973402,0.4808062250081055,0.8467869787152311,0.0002237548234395213,-0.00024758881538242063,0.1202980335360004,6.4210779439999435,-0.8356823458587892,92530.0,1.5564857086007915,0.41823012486911004,39522.7468001309,0.5,1.3388729002981172,5.291593463603939
xs_momentum,-0.9818612624845979,0.1433896531561881,-27.8914114242393,-40.36997677528089,-1.0016071236266693,-0.9802858219792063,0.44943261644871935,0.7780101830777493,0.0003300229476572218,-0.0003501171330329649,0.022614798197354964,5.628569428924273,-0.9802799001246474,92530.0,2.0784005677210846,0.21570180658941,20383.820722699245,0.5,1.3123911218107258,2.675154534505198
xs_residual_momentum,-0.9824719713831062,0.1431807958762028,-28.171493928155893,-41.02173889666434,-1.0015530637808514,-0.9809484958033933,0.45074030044309954,0.7774854473198607,0.00033087983551605864,-0.0003531332228664074,0.034215674090925303,5.4446231624971055,-0.9809302412462099,92530.0,2.1341889787652173,0.21571777996911393,20385.330207081264,0.5,1.3177498112625317,2.686276503290572
