,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
AARTIIND,,-4.6623952472439365,,0.23402219953527698,,-2.898994808560357,,-5.835904430359368,-2.5182721717359517,-2.3550519349682886,-5.820204421796273
ABB,,-3.878519185414365,,-1.0098378208667111,,-1.826979076162591,,-4.305218096284606,-2.6935345950524914,-1.8326323863165581,-4.043113885378048
ABBOTINDIA,,-8.570220906349107,,-0.6035739815136966,,-1.9578125031546565,,-11.037417788945588,-7.492406181389945,-2.0654994131888684,-10.009409512611313
ABCAPITAL,,-2.8167409756862787,,-0.6925820434805608,,-1.7193949857872473,,-4.75238863765171,-0.9471903821252355,-2.2669144196934217,-4.549536257321128
ABFRL,,-2.3422238012236556,,-1.2695680413359791,,-0.9805053848913681,,-4.071624004966518,-2.09281950692855,-0.6173833272759262,-4.454709114578067
ACC,,-3.0724968907328347,,-1.9552618037964755,,1.2124567606024517,,-2.8443964749721116,-1.2390853726587696,0.9747144024878747,-3.6763860632772074
ADANIENT,,1.330048552786687,,-4.367668521187904,,-0.1174989278924586,,1.219612310917691,-2.0656925800024366,-0.6885875798867408,-0.0357993134010148
ADANIPORTS,,-0.4070160038591047,,-2.647097117695533,,0.44403914115819515,,-0.1832757690848489,-2.346799774596186,-0.107774561485093,-0.7214323877795605
ALKEM,,-5.004600693300506,,-2.0382769734301696,,0.38961383870395894,,-7.541522845691075,-5.436564911892818,-0.06215295984447351,-7.057334406770519
AMARAJABAT,,-3.0408514964984965,,-3.040578862810938,,-40.29435577721045,,-54.244257042881316,-87.18064308930029,-45.118749661112574,-3.0408339339565207
AMBUJACEM,,-2.3748264897191547,,-3.0929149992131273,,0.30447092278782684,,-2.1784609970217104,-1.4278033699859043,-0.30790886145548496,-3.1313203566369756
APLLTD,,,,,,,,,,,
APOLLOHOSP,,-2.941089294139363,,-2.758503965884946,,-1.057311863687538,,-4.2631404057062845,-4.280428754065387,-0.7498465948426863,-3.845636941592735
