,cagr,volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_factor,avg_win_return,avg_loss_return,skewness,kurtosis,total_return,n_periods
xs_mean_reversion,65.44204249454293,0.08437517174535826,49.77746464167358,69.99014123134644,3023.9930358883857,-0.021640936906231145,0.5818221117475414,1.6319770596051992,0.0001972595996314842,-0.00016817183182303856,0.709963749876158,31.35107838847395,59.876728605891934,92530.0
ts_seasonality,-0.27845841992125386,0.2711195507708698,-1.068288465486551,-1.436851021687681,-0.7290633283213762,-0.38193996200904434,0.4931366191093818,0.989209446528711,0.0005697637929641978,-0.0005605238236305676,1.053503484755154,65.85245755585288,-0.2735075169793205,92520.0
xs_seasonality,-0.4208002165945791,0.07883814365920919,-6.887499610169977,-8.73545855522851,-1.001965004536471,-0.41997496388534017,0.4849454231060197,0.9322223837021338,0.00016296957741762785,-0.00016460569345622646,-1.561648564679201,92.10540469160516,-0.4141686574252267,92530.0
ts_regime_adaptive,-0.8147626321967424,0.1831023787136199,-9.116971846304478,-11.545487436321059,-1.0050776612252614,-0.810646444179735,0.4879161262429745,0.9094486958129234,0.00036362280607341605,-0.0003814570824238688,0.0796233618347391,33.819089293013874,-0.8081015661095293,92520.0
ts_momentum,-0.9285198452774532,0.2758220848789581,-9.427257694245961,-12.410009598175936,-1.0015429643450326,-0.9270893794203492,0.4683960224816256,0.909052056198333,0.0005871719185658612,-0.000569197933847327,-0.5508549132849914,39.146710866392105,-0.9244572090137291,92520.0
ts_mean_reversion,-0.6857423407416268,0.10986301755259167,-10.481249999930615,-9.7422549649648,-1.0039958983332955,-0.6830130898741795,0.2370622568093385,0.8561729997144388,0.00030597890449723003,-0.0002714318983884963,1.2339054993204868,105.01483706013525,-0.6780273891378759,92520.0
xs_momentum,-0.9941308921854476,0.09176372447951864,-55.94477758592918,-70.49930163697768,-1.0006696112581952,-0.9934656563972937,0.39580676537339243,0.5704224433722689,0.00018225127837771866,-0.00020930583411874309,-1.5850660900739548,56.6512880519279,-0.9934673455678109,92530.0
xs_residual_momentum,-0.9924493833178336,0.08473722078544146,-57.61822823827556,-74.08859757899292,-1.0008171032549043,-0.9916391117719144,0.40057278720415,0.5726107009839515,0.0001728051496577341,-0.00020167042230434483,-1.280167297963203,38.88950638700925,-0.9916397514002666,92530.0
