cost_bps,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
0.0,-1.7147949827049709,-20.397045126873763,0.9480319064712633,51.22809461849579,1.504144142880576,2.20534513020179,1.1771273136758904,-45.54977917721337,127.09897512239593,-2.225031298413059,-43.73105456638398
0.1,-3.453902636565935,-22.866731561064775,-1.8472024329933816,45.23580425821032,0.970705559269243,1.5161824459933277,-1.337679993776341,-49.53847123590248,112.85181388156742,-3.333012011434268,-47.75235758370983
0.2,-5.183927143681993,-25.330730729761203,-4.672400660668463,39.195743534516424,0.4372499693806272,0.8268395767777624,-3.865683250621956,-53.51422245828332,98.44801389294956,-4.440547004841309,-51.761228129009446
0.3,-6.904040434670708,-27.788721714495814,-7.5243284551179235,33.109855658210485,-0.09608876458057185,0.13748053460514012,-6.404072772587246,-57.47650245016,83.89431774273996,-5.547261249759792,-55.75712801063619
0.4,-8.613443037991546,-30.240387995188083,-10.399540770759923,26.98018317556175,-0.6291769837571533,-0.5517306921867962,-8.949962712500241,-61.424791248375996,69.19795754581735,-6.652780875179357,-59.739529074996796
0.5,-10.311365540620546,-32.68541763292637,-13.29439723286717,20.80886623426601,-1.1618813997916535,-1.2406303339120932,-11.500406628980839,-65.35857959170686,54.366648242909804,-7.756733798294063,-63.70791349131691
0.6,-11.997069878045828,-35.123503445582976,-16.205080556504914,14.598140431458221,-1.6940692608263053,-1.9290550338186951,-14.052413956929241,-69.27736917455024,39.40857779720083,-8.8587503481899,-67.661774019724
0.7,-13.669850451820675,-37.55434317608049,-19.127617855770993,8.350334238106571,-2.225608515870057,-2.6168420411766506,-16.60296717308059,-73.18067288326202,24.332394203446515,-9.95846388045058,-71.60061426244866
0.8,-15.329035074433932,-39.9776396531305,-22.057904633453575,2.0678659969717654,-2.7563679770609966,-3.3038294026413877,-19.149039431908992,-77.06801501505413,9.147189254537462,-11.055511380316164,-75.52394889802267
0.9,-16.973985742694072,-42.39310094430137,-24.99173116735461,-4.246759505645609,-3.2862174793638723,-3.989856151370072,-21.687612434329413,-80.93893147941579,-6.137520954604953,-12.149534052105302,-79.43130389838107
1.0,-18.60409924218808,-44.80044050127809,-27.924810938873478,-10.590954890951405,-3.81502803725468,-4.674762493380148,-24.21569428450635,-84.79296998203917,-21.511818768386863,-13.240177892709038,-83.32221672881718
