,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,ts_regime_adaptive_ss,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
AARTIIND,,-6.245115922098262,,3.610494609650507,,-1.4078501247208686,,2.1779910618908698,-13.581492183382252,11.874492524163774,-1.3063589393107662,-12.607593398381184
ABB,,-8.16915648687571,,4.346928224824827,,-0.824574541545031,,3.124130561201154,-12.139918682074162,12.58039239831026,-0.5627725589547583,-11.316867929088497
ABBOTINDIA,,-9.252704769560685,,3.697126345574606,,0.1973091090657458,,0.09934430308032481,-15.143565109453851,5.286288820583235,-1.3252300801217098,-11.92777855620632
ABCAPITAL,,-4.306675197216317,,5.270973532136755,,-1.1068118654641506,,0.9467315797644198,-12.686017298039172,15.289617574931706,-1.440912926779678,-13.124039589750776
ABFRL,,-6.295227238604197,,4.0161107797563815,,-0.5186213940584988,,2.1546047730176126,-12.602239123469444,14.853256997166117,-0.4821299449572033,-11.272881537874833
ACC,,-5.655237939062221,,1.9320500945732832,,0.6520476952476988,,2.147705741249131,-8.202325541514918,6.448619876025216,0.42807804557664203,-9.087887098979703
ADANIENT,,-0.46296311940772167,,1.6503414421406817,,0.2478864785654177,,-0.9723926622907678,-0.84387416369732,0.7130287366142516,-0.9583321222512265,-3.02823670932205
ADANIPORTS,,-1.5308237646244571,,-0.3334104647899964,,-0.7766991602250609,,-2.8033032360944987,-3.1664521758766595,0.0014954826815678352,-1.491243318289108,-3.5633925130901414
ALKEM,,-7.96650076987721,,2.547847923727648,,0.9519243260058485,,1.9402217843330705,-13.473165302400494,9.494400288826004,0.5741534090382864,-10.316572016552792
AMARAJABAT,,1.71867843972685,,-0.17302279269520895,,-5.259985072137787,,-1.5202610221142026,-24.250356886296228,-47.23897135155879,-7.235393560954477,0.9590131572279167
AMBUJACEM,,-3.2583020026531924,,0.5169627673473555,,0.5940319380768317,,-1.053375946846555,-5.423093247590129,2.939497104378777,-0.684218017468933,-6.932506902973826
APLLTD,,,,,,,,,,,,
APOLLOHOSP,,-6.781240590255024,,1.5135984535434546,,-0.9889526957663243,,1.20223568578578,-9.415013880388141,3.279554572842712,-0.6594367096287156,-8.414546227714153
APOLLOTYRE,,-4.774335845647115,,3.151347133813299,,-0.17948044541724015,,-0.38523475538868013,-9.382883971807052,8.49120595462506,-1.8998927682136446,-9.085305657109075
ASHOKLEY,,-6.992640464445036,,3.9349628092269064,,-1.0751711229334857,,2.1142409468191774,-11.319330330971747,13.547176752586584,-0.7714971828236576,-11.285789296545051
ASIANPAINT,,-9.74735779978642,,3.7731897657978486,,0.9695494167154571,,0.1907888444884233,-10.292999211616669,3.202050427337866,-0.06953828686618709,-9.450287791780994
ASTRAL,,-7.604233128304087,,6.757705415283199,,0.12666143470282104,,3.862711391224609,-13.780107368681442,16.0214385344214,-0.02182690202642708,-12.390048620559535
ATUL,,-8.96427545156127,,4.434507703442476,,0.13937124069926107,,1.5895685412335672,-14.495206102788035,11.080332835212266,-0.9359296423175661,-11.79642423774906
AUBANK,,-8.21957362060939,,7.050560552584429,,0.31109056643259925,,6.9949181383237224,-12.715274430570746,13.027810001176066,-1.7244093968800798,-12.17252399685958
AUROPHARMA,,-3.780825513349898,,1.4030501887316704,,0.9924316107520732,,-0.3947125936265934,-4.536410465647923,3.5794358505417203,-0.23809812525132118,-3.8007978125781086
AXISBANK,,-5.141295916552979,,-1.0903539612309257,,-0.18170041919070676,,-0.15613864880110107,-8.586291007889228,-2.8182121391593906,-2.373128614077167,-8.47835388624716
BAJAJ-AUTO,,-8.339389264471976,,4.3499873641531694,,1.489178616517698,,1.8533763119218336,-12.001202664740495,8.451377180562925,-0.30395650769917454,-9.730277371111958
BAJAJFINSV,,-5.961515908302025,,3.0942377635092146,,-1.9468326226461552,,2.8728783101758206,-9.0953028004884,4.547171324056989,-1.7161174285336338,-8.60804690930108
BAJFINANCE,,-5.166664056944582,,0.37581861048647075,,-1.4168505949056682,,0.11056710760568621,-6.762361197364202,-0.9730830291378876,-3.0301431657165057,-7.3443241441799145
BALKRISIND,,-7.8267220318771376,,7.2382630479259555,,-1.16217193872199,,4.963299453688074,-12.935308098870864,14.765244312067903,-2.533384931229987,-12.36482715937462
BALRAMCHIN,,-7.660524607716868,,3.150185051092751,,-1.0726295575030491,,0.9815062379167228,-13.089616232868565,14.364301744745433,-1.0530712408380158,-11.648380118133318
BANDHANBNK,,-4.535743407454674,,5.764587693184627,,1.4204496330800733,,1.1407626017126118,-8.333641987304338,9.627902444867365,-0.28839955629166236,-8.49689862418901
BANKBARODA,,-5.882833021577561,,3.437921230015725,,0.5635943529372909,,0.5764742450503371,-9.338999348290017,6.186196691497725,0.28832106046176126,-9.028517414948942
BANKNIFTY,-6.567569161680056,,-7.704843257333197,,-1.0166882589342199,,-5.790104495271618,,,,,
BATAINDIA,,-9.877628508187005,,4.357586364893899,,-1.230831698883225,,2.5579015009669286,-14.335999987931737,13.090543392851476,-0.5201171287483735,-12.06838976580238
BEL,,-7.537012738770165,,6.2800612488625625,,-0.8568216098949633,,5.587772496524135,-11.010366822533204,17.018636898563706,-1.1481436221475259,-10.903871488200373
BERGEPAINT,,-11.29431999398661,,9.62881271399975,,0.6074148469873359,,5.780019871278978,-16.024572548431195,15.184434174913891,-1.2339642774567883,-14.099085734996468
BHARATFORG,,-8.702386279206282,,6.247513484371712,,-0.5728833070633584,,4.060049115594239,-11.763560143533269,13.58321445745613,-1.422826588028574,-12.659983303232549
