,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,ts_regime_adaptive_ss,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
BHARTIARTL,,-9.625987619721462,,1.821582737380737,,-0.6555019289252311,,-0.29981434435604515,-12.031890946027445,0.796594651195134,-2.805244643503389,-11.266810211483529
BHEL,,-3.161166949949606,,3.2829319916950594,,0.35088733915571524,,1.3475008321684463,-10.051048161263827,13.280000506771154,-0.4840124007422479,-10.288566719596428
BIOCON,,-4.467622313404233,,1.7982950601949383,,0.9244527887950991,,-0.38906285506156857,-8.892375961341278,6.597024824326849,-1.1588017748446418,-8.588655822662563
BOSCHLTD,,-8.405622259080127,,3.5515143926310357,,-1.8604078235349826,,0.7937793250065905,-14.968933237707104,11.305695237150623,-3.679920679209483,-11.849780144821327
BPCL,,-6.793592887848988,,2.989028717535895,,-2.1780478695611287,,1.8133224350622417,-10.824233640203923,7.841935509947657,-2.2983836981729304,-10.428693121081146
BRITANNIA,,-9.604283894269262,,4.6565119218541025,,0.21242541397165343,,3.4094651004760954,-12.25740559442229,8.047288160965353,-1.6865753736533056,-11.437535775678274
BSOFT,,-5.193977476892509,,2.860380504598801,,-0.02014829048794438,,1.6488122879113738,-9.833142587428355,8.342983049817569,-1.1094008937550726,-9.390905824289588
CADILAHC,,,,,,,,,,,,
CANBK,,-5.2981781391448495,,3.2382989951108243,,-0.019831370161444692,,0.23132636001089962,-9.779724525641825,8.413792069853228,-0.9355983498074869,-9.520584770242406
CANFINHOME,,-4.577433739547155,,2.3346328625983745,,-1.2147122222182376,,0.3346354616998189,-8.52646790351539,8.658671998627918,-2.563689874064525,-8.85516820881226
CHAMBLFERT,,-6.659383220416322,,4.8238236870998,,-0.7560654155840854,,2.435607429407641,-14.608896001149077,11.879868718280346,-2.706005738918708,-13.069364740563026
CHOLAFIN,,-5.96186750542067,,5.671490494116936,,1.051344566851072,,3.8182079552520447,-10.407487163123605,8.652014477517993,-1.627992554648501,-9.302814514027713
CIPLA,,-8.332377349698248,,3.2603361320565107,,-0.4545706203165717,,1.6726784096819176,-10.469018807335464,4.197824628908925,-1.73084608219766,-9.768080482730577
COALINDIA,,-5.626036918538718,,2.0893130950912524,,0.3225264415729136,,1.1671136838825626,-7.141167568168058,5.664213691546605,-0.6613806862979152,-7.51757867137031
COFORGE,,-6.6780946741701195,,5.546146954645871,,0.44161285250640886,,2.5603369701660275,-8.06806211689759,8.791092518695459,-1.8755631881827808,-7.565946616181562
COLPAL,,-10.936478084412661,,4.602286995483798,,-0.33136360324287484,,2.2944165879105642,-13.691050693494136,8.46758192866106,-2.1335565837277777,-13.10995839582947
CONCOR,,-8.231833430601483,,6.927202084590497,,-0.7947068039841872,,3.865946772739464,-14.156969510823103,13.238749496651748,-1.2566880265139433,-13.698452445272197
COROMANDEL,,-7.837928622899689,,1.100509893532577,,-1.0143254287568606,,0.6307091413309034,-15.683991497030938,6.426322285723184,-4.762789386921557,-13.439450119096144
FINNIFTY,-6.870704211912503,,-0.7141304853026875,,-1.1702465671666036,,-3.5152665624005905,,,,,
MIDCPNIFTY,-5.167474594397542,,-0.4431555880638604,,0.8331320629697995,,-2.4044989206366383,,,,,
NIFTY,-6.029209766706961,,-12.204428261805782,,-1.7673109579158175,,-9.08364227460118,,,,,
