,cagr,volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_factor,avg_win_return,avg_loss_return,skewness,kurtosis,total_return,n_periods,gross_leverage,turnover_per_bar,ann_turnover,tcost_bps,realized_cost_bps,cost_drag_ann
xs_mean_reversion,0.46842432408487844,0.13184221723306516,2.9800101479719032,4.179831685471556,7.482805155406392,-0.0626000964018738,0.50671875,1.1122576041449397,0.0012194228576034877,-0.0011262150188587185,-0.01347265241766424,4.039172570183475,0.47740650706600163,6400.0,2.3421568769137293,2.3472185198986257,14787.476675361342,0.5,0.5000000000000001,0.7393738337680674
ts_mean_reversion_ss,0.1533650174092096,0.21886756943768437,0.7612437216466045,0.8280596656687906,1.1889519899477898,-0.12899176645134702,0.3475,1.043157520908915,0.0018395143682593677,-0.0013593843202483627,0.54374022203156,30.490478046478017,0.15598014389394876,6400.0,0.7267247250881113,0.8883018738066317,5596.30180498178,0.5,0.5,0.279815090249089
ts_seasonality_index,0.053563849041129874,0.14623378452294272,0.4298649249633587,0.5861139214610079,0.23492007017660807,-0.2280088244519154,0.46917057902973397,1.0170768208315273,0.0012666456761364713,-0.0011013701920877135,0.6629389412639516,15.4593960544018,0.054349476718074774,6390.0,2.122939395477997,0.7257114897921959,4571.982385690834,0.5,0.5000000000000001,0.22859911928454177
ts_seasonality_ss,-0.11607415942319266,0.14903224513445618,-0.7532822028454712,-0.9450501121294673,-0.4932492365131936,-0.2353255734235442,0.47125,0.9714293648848122,0.0012856932710616276,-0.0011802768187984508,-0.966512268649058,16.02155891221633,-0.11780358657915402,6400.0,2.826242477038247,1.0596413082367235,6675.740241891358,0.5,0.49999999999999983,0.3337870120945678
ts_momentum_index,-0.1678131778081885,0.1491150907178949,-1.1573732556696654,-1.5444939379092124,-0.7402722800318139,-0.2266911545046325,0.45367762128325506,0.9548791499283958,0.0012778452718208023,-0.0011112920984145535,0.19509605836447327,13.71743294650183,-0.16999419076861055,6390.0,2.070640887946559,0.740271533167823,4663.710658957285,0.5,0.4999999999999999,0.2331855329478642
ts_momentum_ss,-0.25928408374813483,0.14977399577449788,-1.9290059528575434,-2.6085050378056938,-0.8573434996270844,-0.3024273046461712,0.46109375,0.9307002418343325,0.0013357288520911836,-0.0012279607779687386,-0.06782970171720581,6.725161914312698,-0.2628045336239292,6400.0,2.860724115312355,0.7904623840672894,4979.913019623923,0.5,0.5000000000000003,0.2489956509811963
ts_regime_adaptive_index,-0.2941004458085814,0.15758258916786672,-2.1313283406510637,-2.7118453846614887,-0.9094190918271419,-0.323393744920942,0.46087636932707354,0.9157394097147932,0.0012571323693060287,-0.001194714263976654,0.16599094699372258,11.15576916445567,-0.29760389919972663,6390.0,2.210692657003484,0.7295972142434448,4596.462449733703,0.5,0.5,0.22982312248668513
xs_seasonality,-0.2469685937394962,0.1186508766861313,-2.331230636031418,-3.2884938030464337,-0.8144732485221265,-0.3032249299625547,0.46140625,0.9213095119424256,0.0011140777145286535,-0.0010365354329552776,-0.1602624724949144,4.051032984677101,-0.2503513872216301,6400.0,2.6134827753934564,1.2751666451491444,8033.549864439609,0.5,0.5,0.4016774932219805
ts_mean_reversion_index,-0.38980403603505565,0.15830819257198497,-3.0408372788560665,-2.108186483587079,-0.9457785465472999,-0.4121514888005138,0.13004694835680752,0.7850295172195998,0.002145670404915751,-0.001596147963597587,-2.09536163708369,63.402720369345076,-0.3940949015817724,6390.0,0.8471244942150555,0.5924469029129037,3732.4154883512933,0.5,0.4999999999999999,0.18662077441756464
xs_momentum,-0.3639057321251453,0.1268654510783704,-3.502479699452187,-4.889029351465848,-0.9526693932196708,-0.3819853295541261,0.4584375,0.8824135036726477,0.001154550690152294,-0.0011075731292410442,-0.20548520391443045,7.494380968624618,-0.36845721879136883,6400.0,2.4678971107839702,0.7446649914588565,4691.389446190796,0.5,0.5000000000000002,0.2345694723095399
xs_residual_momentum,-0.3966605865872298,0.1368970077119244,-3.6223318509479108,-5.191075717495287,-0.9488705037533927,-0.41803447890748235,0.45328125,0.8793352894894448,0.0012654590997167748,-0.0011931564596094862,0.09682398008778414,3.763343134314094,-0.4014801629163164,6400.0,2.1996905062183343,0.7836289260081385,4936.862233851272,0.5,0.5000000000000001,0.24684311169256373
