,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
AARTIIND,,0.2970240882186241,,-0.5974745308171218,,0.21692640351339518,,-0.11043467047678197,-0.30042811422011395,1.362831423370612,-1.1694536192080192
ABB,,-0.7407121008801799,,1.0400277467131738,,0.4079694016086904,,0.29091977089757515,-0.07503244939027354,-1.8709200414731861,0.42428579674260936
ABBOTINDIA,,-1.2871211079487033,,1.9386467450407028,,-0.10601837520433831,,-0.5130839998418512,2.8292866983833376,0.16323611823000303,-0.5314743260701672
ABCAPITAL,,0.4468091340100562,,0.1837614636393325,,-0.8237663735419583,,-0.5753720134653327,0.13106499637553048,-0.08753613181616454,0.6655133298739677
ABFRL,,0.2432331257490632,,0.4271253306645459,,-0.10968444019915122,,0.9002992859920945,1.3448329955153875,0.3965167756265399,1.0180727225877162
ACC,,0.12328850268791351,,-0.022789289902569097,,1.7362813450348327,,0.7008500687071212,0.19390361655392313,2.1051546594373547,0.46160031996995493
ADANIENT,,0.2578244278546537,,-0.1566764133110044,,-1.77592052695607,,1.132609617736093,-0.9910858868814685,-1.0473983262257247,0.669594329886587
ADANIPORTS,,0.6288844229378788,,-0.29063622908147774,,-0.6420372361311466,,1.7303989801770894,-0.5263788763899796,-0.5205724704550877,1.2213649643404847
ALKEM,,-2.5295701583301735,,0.213348648127766,,-0.5176860255312546,,-0.17881026414663548,1.0566530197215407,0.8201281045904475,0.27933543185864956
AMARAJABAT,,-5.047090840154388,,-1.9843134832985185,,-33.72105847372168,,-32.39359986603364,-63.367247484959535,-39.735254064234574,-5.386622156690104
AMBUJACEM,,0.7014242769360614,,0.10267037951255777,,-0.11424482012342589,,0.6415804566419064,0.23857934016939994,-0.8141073066541492,1.1227911790780165
APLLTD,,,,,,,,,,,
APOLLOHOSP,,-1.502191912711555,,0.05107174916271254,,0.48588415933611956,,-1.9047231012726131,-0.29985369358454705,0.8183072409565315,-2.3537577666870053
APOLLOTYRE,,-0.47360126558688675,,0.5731370496426205,,0.5878574455433314,,-0.3676705120571246,-0.23665554985021223,1.0195870019045121,-1.6192269465615934
ASHOKLEY,,0.004736831485093739,,-1.3056821244100922,,-1.5203520084675337,,-0.2802536181872188,-0.3484331545067589,-2.3518678905772856,0.09207802991176527
ASIANPAINT,,-0.31833615590653735,,1.1901389908533002,,-0.041908822201356805,,-1.9669174136027336,0.23945927783830578,0.14400971234410226,-0.31725282818139794
ASTRAL,,0.1603573816048745,,2.0897906957946653,,0.08883943039424555,,-1.3759505918290498,-0.23894338094860096,-0.19975993699595146,-1.1905841418680034
ATUL,,-0.8654475775363476,,-0.27840715285570244,,0.9127626868172115,,-0.2642944104061722,0.2418374044260692,0.24764724956956996,-0.1666402845623204
AUBANK,,-0.41067259902029574,,0.9034776554373479,,-0.29014370814221774,,-0.9340200152163478,1.2838152913969496,-0.8820280080721739,-0.4872357666077795
AUROPHARMA,,-1.2246477387099097,,-1.9093053154448285,,1.0912275976983032,,-0.16495994614950313,-1.986642503336377,0.34368015892550885,-0.15794063113985823
AXISBANK,,-0.4209464047302059,,-0.19094758475720253,,1.3268165792266071,,-1.4300251555077643,-1.0242679292941859,-0.6414291281893684,-0.8495354293995067
BAJAJ-AUTO,,3.021947920413669,,-0.6710781202742739,,2.273661716053372,,0.7636676355983433,0.6179281300535238,1.0767762949044037,1.2834791592888062
BAJAJFINSV,,-2.4472000838731294,,-0.32064889630676274,,-1.1777314812671267,,-2.6032252123221817,-0.9859863481833198,0.48911092580738835,-2.166006988914822
BAJFINANCE,,-0.2818220838398961,,-1.6047086717400325,,-1.2579922146403062,,0.029723698968944032,-0.1618208871915931,-1.6208928144009591,0.5414625310770285
BALKRISIND,,0.5555857469699853,,-0.7401620260104933,,-0.895578297258755,,-0.2554497530469734,1.1642345064846387,-1.5205225747365043,-0.7471838772394842
BALRAMCHIN,,-1.740536342742844,,0.09934065843617852,,-1.229338356063045,,-1.778371989679767,2.0016041322000255,-2.5099388166424905,-1.3959962546010753
BANDHANBNK,,-0.2523992380406452,,-0.024968208901179994,,0.7481745809595711,,0.7862419582985263,0.22030149153015702,1.0616241276872582,0.3146076186477772
BANKBARODA,,0.18570523861226101,,-1.3283424879991965,,0.5150632913906145,,-0.6352812156790516,-0.26556180381394023,0.43152575539619215,-1.1367013344188612
BANKNIFTY,-0.8746482518143529,,-2.3342218476351024,,0.3790568040702139,,-1.6153542183350742,,,,
BATAINDIA,,-1.5144038412746912,,-0.8469529141289514,,-1.6651247739875603,,-1.8227595271447845,1.3065174522853609,-1.0029714327360986,-2.652011898856916
BEL,,-0.9685813194275872,,-0.49976394573208144,,-0.24992716284122038,,-3.023356147163818,0.07578153363573392,-0.20194234249042314,-2.296905049461328
BERGEPAINT,,-1.9019377426609918,,0.9401409533877058,,-0.9956579987968117,,-2.383447306159588,2.1539457006704565,0.5675774838733342,-1.8784798151422712
BHARATFORG,,-0.5143184901138678,,0.5217014763587878,,1.9287682446609142,,-1.9639770785821242,1.6282992576427935,1.180836891490664,-1.5721452300554242
BHARTIARTL,,-1.4025071491910999,,-0.4285546722139068,,0.8624015758894671,,-2.61264785131829,-0.29808739288037966,-1.619646087860894,-2.0574065229900174
BHEL,,0.8998743701662948,,1.4225660457015348,,0.00562850185285158,,1.213996458667946,-1.0803521466970092,0.06615487889701804,1.1501502174686755
BIOCON,,0.022786570716038512,,1.9053174419922263,,0.33382266906872227,,-2.3352163451562427,1.5036017044480867,0.48497522462655956,-1.5749389893245767
BOSCHLTD,,-2.1300386130085815,,2.2420166353539575,,-1.1976204911912738,,-1.719893675810363,1.712979784845919,-1.8496532464062378,-1.1222746573064601
BPCL,,1.558159254806971,,-2.091612856490919,,-1.777042003207828,,-0.5541837971761122,2.1289554607769423,-1.2300381668039946,0.002146921600203829
BRITANNIA,,-1.3474702206724705,,1.2572488246557514,,1.5236479214590672,,-2.522245127799848,2.1649402082658904,-0.00028447850092317816,-1.2023603344050133
BSOFT,,-0.38860034556894346,,0.541655610010757,,-1.8952918924580513,,-0.6235167453957817,0.40396217655844174,-0.6598676101256796,-1.1207465584390408
CADILAHC,,,,,,,,,,,
CANBK,,-0.03905659140391616,,0.5253270409427013,,-2.222389042219859,,-0.5613387976603552,0.7318797317288757,-1.8221513194573546,-0.7265753173963454
CANFINHOME,,-0.4454260320690535,,0.06076237364327806,,-0.03233744123612498,,-0.7828237809092643,1.370872621076113,-1.1576131016649607,-2.15749860437188
CHAMBLFERT,,-0.7415938117160318,,0.18672756663672357,,-1.4351535153097923,,-1.4882239800132333,3.6334227000115757,-0.806340947570132,-1.5185492955216007
CHOLAFIN,,-0.27123001644610667,,0.8880763551450368,,1.6644980817244526,,0.06281779437745037,-0.8771375433149581,-0.5235749544606612,-1.4057200020165737
CIPLA,,-2.8237624424590315,,1.020966806897342,,-0.31536736006989585,,-2.142883452131516,1.447128219748864,-2.380237480990506,-0.8965887464532817
COALINDIA,,0.7109364124654995,,-1.3844321779934488,,2.0169374186263416,,0.3608091100966287,-1.5543091629832868,0.3504116141317341,0.37755573541798404
COFORGE,,0.009130214766603778,,0.5676101374830836,,-0.5098878101504867,,0.4134176368669581,0.11087922767251715,-0.8275350324995752,-0.40042776309446937
COLPAL,,-1.7464076781219386,,-0.1747709745454853,,1.3842554659752713,,-1.589597416722456,0.5314776907083132,-1.1865208771174833,-1.9044570732936703
CONCOR,,-1.209762303408044,,1.8880159274618695,,-0.1572639844050196,,-2.8640863011692996,1.2921075433799158,0.10887252495403549,-3.355830184195591
COROMANDEL,,-1.7469355630069965,,2.572417409428592,,-1.784062236134646,,-2.6243391940216014,3.988688436375714,-1.1579599242808762,-2.2182504578856412
FINNIFTY,-1.337831334926409,,-1.3284311904282164,,0.6417423697220065,,-1.147480246524744,,,,
MIDCPNIFTY,-0.49590361997875215,,-1.3805304740135478,,0.04734301922805387,,-0.8603806126832836,,,,
NIFTY,-0.4626340304658548,,-2.2893797165535457,,0.15331318229964758,,-1.1720158216402465,,,,
