cost_bps,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
0.0,-0.08931665778542838,-3.456987639805678,0.42136801961020987,8.20892875860083,1.4492923353722957,2.149446089317369,-1.4184920899834432,-9.310953187365289,37.76281154264789,0.08776304443233962,-9.490087399750616
0.1,-0.8533709625976053,-4.448279400251589,-1.2367322286822207,6.546645885597281,1.0299286143402788,1.6120991308017654,-2.5688210759940153,-10.744790069579842,33.3888227839468,-0.6652135381201523,-10.926228429419947
0.2,-1.6169923638014387,-5.4392021819534655,-2.893913894657725,4.884095619897847,0.6105404155170318,1.0748076341002102,-3.718778286760032,-12.177529414949285,29.005082429254834,-1.4179165034929764,-12.361192344738388
0.3,-2.3800017832298477,-6.429570929497711,-4.548853854757896,3.2221101019334575,0.1911949882361352,0.5376720704848766,-4.867868397568771,-13.608731838801326,24.622162262891383,-2.1701209216702724,-13.79454373132018
0.4,-3.142220915228119,-7.419201018508667,-6.200237868936932,1.561518558952064,-0.22804047499269808,0.000792698810442833,-6.015597633789457,-15.037959638586866,20.25045831930659,-2.9216026296612365,-15.225848971887276
0.5,-3.903472433562071,-8.40790842748047,-7.846765767638041,-0.09685475007219317,-0.6470988922501791,-0.5357305276907738,-7.161474829820145,-16.46477746231995,15.900073836364346,-3.6721385642783355,-16.654676901095648
0.6,-4.663580195595943,-9.3955099083788,-9.487156509077558,-1.7521925570463237,-1.0659133457495211,-1.0717980538876615,-8.305012475648722,-17.888752969658483,11.580711802352944,-4.4215070910634635,-18.080599452687604
0.7,-5.4223694431964535,-10.381823155642424,-11.12015306153165,-3.403686563440958,-1.484417135054525,-1.6073108143045731,-9.445727745848925,-19.309457483291162,7.3015795058163295,-5.169488328239289,-19.503192296710296
0.8,-6.179666999837748,-11.366666973226172,-12.744527068180776,-5.050539364078071,-1.9025438298752213,-2.142170323556433,-10.58314350598667,-20.72646662835558,3.071306921061162,-5.915864464590745,-20.92203546459898
0.9,-6.935301463397965,-12.349861439327976,-14.359083255583895,-6.691966305637012,-2.320227322344504,-2.676278765474289,-11.716789291605362,-22.139360957681287,-1.1021198572948312,-6.660420070223413,-22.336713960006545
1.0,-7.689103394160837,-13.331228068456383,-15.96266355091623,-8.327197270168353,-2.737401878680106,-3.2095390807366377,-12.84620225520528,-23.547726560741566,-5.211409540206394,-7.402942399184693,-23.7468183533301
