,cagr,volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_factor,avg_win_return,avg_loss_return,skewness,kurtosis,total_return,n_periods,gross_leverage,turnover_per_bar,ann_turnover,tcost_bps,cost_drag_ann
xs_mean_reversion,3.3564317880395844,0.09282806100492988,15.900073836364346,23.077195324643917,155.81448158069367,-0.02154120563114248,0.5214308872798011,1.1569110875485138,0.00022084939253883676,-0.00021065681873205544,0.19927810660080253,8.314540556985335,3.2248105284518704,92530.0,1.5564857086007915,0.41823012486911004,39522.7468001309,0.5,1.976137340006545
ts_mean_reversion_ss,-0.022915448768579205,0.13923896477665948,-0.09685475007219317,-0.11513299441653342,-0.2101409373721886,-0.10904799919109898,0.49092186317950937,0.9988556337986748,0.00025373199206743936,-0.00024791020644565295,-0.8198049393281285,87.51137745230376,-0.022443142100199376,92530.0,0.7278474341015928,0.2441587451880684,23073.001420272463,0.5,1.1536500710136233
ts_seasonality_ss,-0.07962410215997406,0.1372878715323548,-0.5357305276907738,-0.7499782694534088,-0.4005902570169579,-0.19876694643774973,0.4942072841240679,0.9950278556088837,0.0003151585710302495,-0.0003132264083489907,0.04533002822774697,7.458041729375321,-0.0780307467239375,92530.0,2.602582115144717,0.07794507122782314,7365.809231029287,0.5,0.36829046155146433
ts_seasonality_index,-0.09167483584042668,0.13459773678348977,-0.6470988922501791,-0.8794183659732824,-0.6620771408429745,-0.13846549017491194,0.4913856463467358,0.9935364451091622,0.0002883145103651431,-0.00028378574973982415,1.3187091897020815,67.1145947712368,-0.08984305103145396,92520.0,2.09047576851675,0.059694358892289766,5641.116915321383,0.5,0.2820558457660691
xs_seasonality,-0.40103411217989693,0.13702148836901235,-3.6721385642783355,-5.400450926076633,-0.9724460414236559,-0.41239729002627756,0.48913865773262727,0.9678506883649849,0.0003277031605552984,-0.0003280778793260349,0.018042276836415676,5.149351466899901,-0.39459989752052904,92530.0,2.6258820011703636,0.10903070279127211,10303.401413775215,0.5,0.5151700706887608
ts_momentum_index,-0.419431521335064,0.1368973726538274,-3.903472433562071,-5.228913234996452,-0.9699536706372923,-0.4324242837902591,0.48039342844790317,0.9618324926590068,0.0002966354220663802,-0.0002885411665568543,-0.15131219912872929,15.921357438630906,-0.41277939653600215,92520.0,1.9242077911208586,0.11051210598945031,10443.394016003054,0.5,0.5221697008001527
ts_regime_adaptive_index,-0.639573459691453,0.14110301096167074,-7.161474829820145,-9.154580353024329,-0.9966174823892461,-0.6417441706502762,0.4857652399481193,0.9303811997741698,0.0002941811892327411,-0.00030229782274731313,-0.2937905164643082,16.389032917763203,-0.631784126108045,92520.0,1.8367954852607957,0.17154892080139963,16211.373015732266,0.5,0.8105686507866133
ts_mean_reversion_index,-0.4669512265812513,0.07977284023842118,-7.846765767638041,-8.4178202361929,-0.9963000311507069,-0.46868534776811344,0.46349978383052315,0.8713315105833687,9.677777141106508e-05,-9.706667420002356e-05,0.7226387923608727,217.61665446887,-0.459878044511569,92520.0,0.4221263823348577,0.13957159929935464,13189.516133789013,0.5,0.6594758066894507
ts_momentum_ss,-0.7032039901239129,0.14325112423917938,-8.40790842748047,-11.739348832592018,-1.008183200743068,-0.697496238387652,0.4770885118339998,0.923121881025357,0.0003207831451950282,-0.0003207591385040022,0.1275496380675072,10.326663164722246,-0.6955923985078851,92530.0,2.5355739963460726,0.15017369914661677,14191.414569355285,0.5,0.7095707284677643
xs_momentum,-0.9049672892571692,0.14232663132865622,-16.46477746231995,-23.843201289917708,-1.0051461193796167,-0.9003340626890362,0.4663892791527072,0.8617615399186221,0.0003314514236261475,-0.0003400248112568738,0.0261470982613745,5.802501228246577,-0.9001884160481051,92530.0,2.0784005677210846,0.21570180658941,20383.820722699245,0.5,1.0191910361349623
xs_residual_momentum,-0.90714655174836,0.1420986394856316,-16.654676901095648,-24.285471523062302,-1.0048022768736924,-0.902811003345678,0.4668539932994704,0.8612507038757015,0.0003329753211253597,-0.00034243293765587486,0.0407394700313301,5.601343305895448,-0.9024300915283656,92530.0,2.1341889787652173,0.21571777996911393,20385.330207081264,0.5,1.0192665103540635
