,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
AARTIIND,,-2.6221243547961515,,0.5494355448109259,,-1.6744012380566664,,-3.4695786448353534,4.9783538109084695,-1.0570986774785356,-3.4775398968640796
ABB,,-2.0463982360045314,,-0.28084942301007026,,-0.9475920721118994,,-2.2224694207572036,3.6594902901749338,-0.7393119944350288,-1.941142770499599
ABBOTINDIA,,-4.4925431729419465,,-0.2336944091786842,,0.36644657122188645,,-6.300215704261852,5.908905482559497,0.5885203945756927,-5.44135134321362
ABCAPITAL,,-1.1630115014923046,,1.6964038285805336,,-0.7403645989301667,,-2.6700614978512833,5.499032048030528,-1.0814374670690754,-2.5070491784402105
ABFRL,,-0.8372690946098438,,0.17160301981654,,-0.14243131375718293,,-2.233790472442071,3.587311571070212,0.24962831999830046,-2.673613763569585
ACC,,-1.6648860055602275,,0.09377171409072411,,2.0216739959698953,,-1.318393144486047,3.580102747970854,1.953707849060294,-2.196625413776155
ADANIENT,,1.6981090120022932,,0.5242510917039219,,0.07511221106124695,,1.6340001830512128,-0.8589345505494944,-0.46406120019015923,0.37653995742568047
ADANIPORTS,,0.22501021061723103,,-1.2235894294839158,,0.7690536628210652,,0.500678535549117,-0.3222770943128105,0.27799473234054833,-0.053985719196361616
ALKEM,,-2.0468250827417727,,1.066535777039054,,1.7594893676696957,,-4.175770100734411,4.495090387230209,1.4555546873442704,-3.823202461945944
AMARAJABAT,,-3.0408520867639814,,-3.0407719136321556,,-45.11169334334126,,-62.138151369634485,-100.76624324782323,-50.92137845026766,-3.040833934906899
AMBUJACEM,,-1.5716813337509,,1.481583367456833,,0.7461200939094855,,-1.2780232882149127,1.2091675335440926,0.21019183268417085,-2.2458952242888643
APLLTD,,,,,,,,,,,
APOLLOHOSP,,-1.3597165862822855,,1.3853434807531164,,-0.16685690072017645,,-2.556702205148332,1.6990540056568584,0.3060097762477276,-2.2139743907728016
APOLLOTYRE,,-0.7032624572597361,,-2.231230199768863,,0.20133945495123154,,-0.7658465278521447,2.3935381419860553,-0.917016745118382,-1.2625627516137927
ASHOKLEY,,-0.8894218124389943,,-0.39429689395122597,,-0.9572559082875162,,-1.4043060215949215,2.521475719038867,0.04372313532049366,-1.7323832008970665
ASIANPAINT,,-3.7170140796640805,,-0.17922317958250666,,0.683092201103011,,-3.720458556550125,-0.45064796279852215,0.3669624791671725,-2.967144236057933
ASTRAL,,-1.0050935547802224,,0.6250267814805003,,0.2578433515329557,,-4.117487544569617,4.487353093266236,0.40301766376490994,-3.5523940961592535
ATUL,,-4.7083132298621075,,0.5695180694406332,,-0.49133482033015485,,-5.918598991735509,5.008744989657796,-0.7877190737368736,-4.7919445557617815
AUBANK,,-2.7917483989545864,,-0.38865383101209733,,-0.3010877974927515,,-3.7841165638148313,2.6160127773957806,-1.1057994939988176,-3.608871667749177
AUROPHARMA,,1.4713593878096896,,-2.0295507894705556,,0.8391291210475498,,1.072241673663194,-3.3798437457139077,-0.2448486454818872,1.2596980231156953
AXISBANK,,-1.1046290908499226,,-2.957288406019282,,0.5428474874666901,,-1.5555990525266299,-2.1795336680860453,-1.8062642443916233,-1.5743574825393194
BAJAJ-AUTO,,-1.8654420910140594,,-0.7600329114583462,,1.8865572397583288,,-3.2911567950940306,1.144179000655357,0.7447214817648966,-2.051844627637082
BAJAJFINSV,,-2.3333841106256132,,-0.7545694143991832,,-1.3009113346225027,,-2.430753781754891,-0.44370176538342987,-0.46263688799613245,-2.419415316214556
BAJFINANCE,,-1.2236793507458628,,-1.645114347261445,,-0.8404434525506019,,-1.1853830699602448,-1.8806977414135642,-2.193002152715197,-2.442444745670763
BALKRISIND,,-2.3377416190443565,,0.7812908048945028,,-1.9267108109246656,,-3.9649600019339055,5.644704370917324,-1.982334941410236,-3.793973718200803
BALRAMCHIN,,-2.6297561587072487,,-0.5701667663071105,,-1.5298192462857485,,-3.940956156804676,5.884419481497555,-1.1542860141293632,-3.2920055959402412
BANDHANBNK,,-0.9203640988297509,,0.08816033854440136,,0.7794664083829533,,-1.3540700119538545,0.6713014646973812,-0.016629315576003473,-0.9492757464549877
BANKBARODA,,-1.3242625174523879,,-0.36182174218242963,,1.3509520795237342,,-2.268747156219176,0.8846117894328693,0.11357021414301285,-2.224732792917462
BANKNIFTY,-2.1748886140887387,,-5.705230224318254,,-0.5108177933693634,,-5.0714483353793085,,,,
BATAINDIA,,-2.4013228026605473,,0.7650673628190366,,-1.3878493696564398,,-3.851815709740421,3.800340133391779,-0.9565556817554417,-3.160409532253929
BEL,,-1.6236510382876674,,-0.1981712522627185,,-0.914332035126184,,-0.827494495128954,3.8516961110096033,-1.7762401093720057,-1.8705631565806684
BERGEPAINT,,-4.373579342685329,,1.9456522089204569,,-0.4640189013436467,,-4.904918338379177,7.817693091889216,-0.6047271859561439,-5.003939545718941
BHARATFORG,,-2.5454556782685627,,1.4330508694502535,,0.641149461132221,,-3.295092869601827,2.655994199877906,0.5623470729490537,-3.8896053846518863
BHARTIARTL,,-3.479258224893873,,-1.7507636751236646,,-0.1526028945352291,,-4.287325068292754,-0.8876121499957677,-1.6916972209075034,-4.143432006073453
BHEL,,1.7975003391166027,,-0.5335893573666385,,0.6808218676497241,,-1.0639607928584283,3.18515750361326,0.30170880281801626,-0.6688619651675782
BIOCON,,-0.7935094453141367,,-0.9250564973120734,,0.25781400658803316,,-2.723320824248474,2.325028813519939,-0.25186068563839364,-3.621324805114468
BOSCHLTD,,-4.269275280650649,,0.1991799153042703,,-1.6217437072013097,,-5.598321775704375,6.6741292956144935,-2.9899931549970393,-4.064911487678607
BPCL,,-2.4295819652665713,,0.11171704394110349,,-1.7876126852554786,,-3.625629679687515,2.483052213695609,-1.6482746942271005,-3.5051893463139927
BRITANNIA,,-3.7427712688070423,,-0.13367943867844612,,-0.17307676689860785,,-5.344333463907023,1.9742784226036059,-2.0373975168133867,-4.509505869043058
BSOFT,,-1.887186553461653,,1.4110609951287765,,-0.5085741301688389,,-2.9628231498905726,4.468335551836522,-0.8938386936655348,-3.1230144766878416
CADILAHC,,,,,,,,,,,
CANBK,,-1.15164163652956,,0.17331733690151163,,0.12192869274462628,,-2.054420161816047,0.4836089246729409,-0.995666514429653,-1.9813754616241241
CANFINHOME,,-1.6524433193514678,,-0.0387912278521973,,-0.9202309604309014,,-2.7111361620676018,3.563241800218957,-1.475180656435169,-2.488839842913994
CHAMBLFERT,,-3.6596547777489947,,-0.4470333673168451,,-0.8038267384207685,,-6.213406616610875,5.613961039855427,-1.0624917236355222,-5.078448801655688
CHOLAFIN,,-0.37443600408372363,,0.3633175155233362,,0.7328431101874101,,-2.1579898826383688,1.7467996389483755,-0.3294538308477431,-2.458293928665255
CIPLA,,-2.533668305718431,,0.6753082920494218,,0.03284911236100465,,-3.2035324820030424,1.3255503498468024,-1.505290020149108,-2.8864776512387587
COALINDIA,,-0.3268955022012437,,-1.1367364632393613,,0.8104096871503005,,-0.6363643950424065,0.5335789786320035,-0.6500980172516417,-0.8370656069462098
COFORGE,,-1.4268795096192917,,0.5490769012296769,,0.41073012734802056,,-1.8078969927250301,2.8452298356018453,-0.513730945358996,-1.3217722761099475
COLPAL,,-3.4450171358658874,,0.7917191827478373,,0.6001653083569748,,-4.260769380206646,3.6568887354603916,-1.1773799570290795,-4.556387197752276
CONCOR,,-2.097996529742494,,0.9965517559954821,,-1.0702441723374336,,-4.204881855003856,3.2496100320728876,-0.9251432214921209,-3.807937833257465
COROMANDEL,,-3.637403943356593,,1.7222445425765365,,-0.6686188743427011,,-6.853724802349373,5.478112561038518,-1.9550686877353167,-6.5172813560211384
FINNIFTY,-3.645117592048156,,-1.833418553259632,,-0.9878466015801467,,-2.377983127614963,,,,
MIDCPNIFTY,-2.5023086307879554,,-1.0135428489742622,,0.14750686673934998,,-2.368458963165702,,,,
NIFTY,-1.6762343494157292,,-8.425850631395859,,-0.3125776752561137,,-6.063759787627863,,,,
