cost_bps,ts_momentum_index,ts_momentum_ss,ts_mean_reversion_index,ts_mean_reversion_ss,ts_seasonality_index,ts_seasonality_ss,ts_regime_adaptive_index,ts_regime_adaptive_ss,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
1,0.8700525424261726,0.9334935114828662,-1.1448004026344418,-2.070714564462519,0.3176214374248149,-0.5410746487405198,-1.9849674817236957,-0.6272747586702756,0.6051707014387551,0.40569298713465335,-0.9413703880165561,-0.42178817193486706
2,0.8257387984834758,0.8302103900213982,-1.208285733516643,-2.1802614778537883,-0.04799803547569997,-0.9407660313315682,-2.0835143667984455,-0.8130937099790084,0.4426026370344162,0.0829080182740007,-1.943894184925463,-0.571643786615104
5,0.693203269405364,0.520948402687339,-1.3985076676458825,-2.5045828331227438,-1.1382339811805542,-2.138700059019495,-2.3826151426586177,-1.3743260338922438,-0.044512436092666356,-0.8902002572173995,-4.949493114796605,-1.0207902929863193
7,0.6052124430002677,0.31529806047793346,-1.5250471749585195,-2.717154215343295,-1.857532515752015,-2.9356465848600277,-2.5847449087768064,-1.7514778581888057,-0.36871780150628025,-1.542703386781634,-6.950867715864413,-1.319832889194933
10,0.4738302521258521,0.007677671346877452,-1.7142845921971,-3.0304753733771648,-2.9213983762517097,-4.127114457338678,-2.8916927127784247,-2.3213871599093734,-0.8541255208047807,-2.5266971079609446,-9.947972390717865,-1.767738434680422
15,0.2566458637268444,-0.5025190264897037,-2.0276324573710016,-3.5377448502630062,-4.642957638297664,-6.097671671727512,-3.411989402666465,-3.281269310527273,-1.6604310340005226,-4.179236419651305,-14.925249129388602,-2.5122423923716712
20,0.04196378884908767,-1.0092328641208268,-2.337592210607897,-4.026191464719773,-6.284570887582706,-8.041879506275494,-3.9407991235253803,-4.25175024683909,-2.462863730920274,-5.845043663459516,-19.872690681597447,-3.2538398499600305
25,-0.16992592057301087,-1.512072068186739,-2.6432479829524627,-4.495782668428813,-7.832712807196409,-9.95181474992711,-4.475003073754643,-5.230426253463248,-3.2608741210849526,-7.521188787545103,-24.7819306778481,-3.9920784645763923
