ticker,open,high,low,close,volume,OI,return,signal_FE,signal_CCI,signal_CMF
BANKNIFTY_F1,44642.5508,44645.6992,44611.0,44620.6016,11130,1943355,-0.00040218173171752754,0,0,0
BANKNIFTY_F1,44623.6484,44624.6992,44583.0,44594.1992,9990,1943355,-0.0005918838698071605,0,0,0
BANKNIFTY_F1,44598.5,44617.5508,44587.1016,44596.6992,6345,1948140,5.605953175726e-05,1,0,0
BANKNIFTY_F1,44599.0,44616.9492,44597.6484,44606.8516,8775,1948140,0.0002276232269407784,-1,0,0
BANKNIFTY_F1,44610.1016,44617.5508,44596.6016,44596.6016,7290,1948140,-0.00022981173211149704,-1,0,1
BANKNIFTY_F1,44599.8984,44647.5508,44599.8984,44637.0,14280,1957590,0.0009054527002310808,-1,0,1
BANKNIFTY_F1,44637.1484,44671.75,44637.1484,44653.6484,11325,1957590,0.000372903556895149,-1,0,1
BANKNIFTY_F1,44653.6992,44661.0508,44636.8008,44657.1484,6660,1957590,7.837798177147827e-05,-1,0,0
BANKNIFTY_F1,44658.3008,44669.8008,44657.6484,44669.8008,12510,1963980,0.00028328293304374615,-1,0,-1
BANKNIFTY_F1,44670.0,44689.1992,44663.8008,44689.1992,23025,1963980,0.00043416780189394876,-1,-1,-1
BANKNIFTY_F1,44686.1016,44698.0,44680.1016,44692.4492,8685,1963980,7.272186314776433e-05,-1,-1,-1
BANKNIFTY_F1,44690.1484,44722.3516,44688.0508,44718.5,23610,1949415,0.0005827205945187438,-1,-1,-1
BANKNIFTY_F1,44722.0,44735.3516,44699.0,44701.3516,35190,1949415,-0.00038354794608545085,-1,-1,-1
BANKNIFTY_F1,44714.75,44731.9492,44706.1992,44731.9492,14715,1949415,0.0006842552141122075,1,-1,-1
BANKNIFTY_F1,44728.75,44733.0508,44704.1992,44704.1992,16200,1955265,-0.0006205544712503956,0,0,1
BANKNIFTY_F1,44694.6016,44707.6992,44685.6484,44700.0,14460,1955265,-9.393742219414765e-05,1,0,1
BANKNIFTY_F1,44693.1992,44718.3516,44693.1992,44711.6016,21330,1955265,0.0002595099485413436,-1,0,1
BANKNIFTY_F1,44709.0508,44709.0508,44679.3516,44681.75,14340,1950930,-0.0006678707213750736,1,0,1
BANKNIFTY_F1,44678.6992,44678.6992,44631.5,44640.9492,12210,1950930,-0.0009135595588374673,1,1,1
BANKNIFTY_F1,44636.8008,44687.0508,44636.8008,44687.0508,14565,1950930,0.0010321870878803373,-1,1,-1
BANKNIFTY_F1,44681.25,44696.0,44679.4492,44686.5508,37020,1946160,-1.118898625661694e-05,-1,0,1
BANKNIFTY_F1,44685.1484,44699.0,44685.1484,44698.1016,13710,1946160,0.0002584515295222906,-1,0,1
BANKNIFTY_F1,44695.0,44698.5,44681.6016,44684.3516,13605,1946160,-0.0003076666530442667,1,0,0
BANKNIFTY_F1,44684.1992,44705.0,44684.1992,44703.6484,12375,1963155,0.000431753709664697,-1,0,-1
BANKNIFTY_F1,44700.3008,44715.8984,44698.3008,44710.3984,20340,1963155,0.00015098298878971788,-1,-1,-1
BANKNIFTY_F1,44710.75,44743.5,44710.0,44738.9492,52860,1963155,0.0006383680090601379,-1,-1,-1
BANKNIFTY_F1,44740.0,44768.5,44740.0,44766.0508,36525,1909920,0.000605588533115686,-1,-1,-1
BANKNIFTY_F1,44770.0,44770.0,44727.6992,44748.8008,23220,1909920,-0.00038541091014954794,-1,-1,-1
BANKNIFTY_F1,44753.0,44754.0,44729.3984,44749.0,21840,1909920,4.45150603078492e-06,1,0,-1
BANKNIFTY_F1,44745.3984,44746.6992,44735.6484,44746.6992,19065,1904280,-5.141699592424925e-05,1,0,-1
BANKNIFTY_F1,44760.1016,44760.1016,44740.0,44745.1992,29070,1904280,-3.3522587562842586e-05,1,0,-1
BANKNIFTY_F1,44748.5,44749.1992,44740.1484,44742.1484,19725,1904280,-6.818394070239901e-05,1,0,0
BANKNIFTY_F1,44743.9492,44749.8984,44739.3516,44739.3516,15075,1900125,-6.251124536144e-05,1,0,1
BANKNIFTY_F1,44740.1992,44741.1484,44729.3008,44734.6484,15420,1900125,-0.00010512998199107856,1,0,1
BANKNIFTY_F1,44734.0,44736.8516,44727.8516,44731.1992,8175,1900125,-7.710651816830673e-05,1,1,1
BANKNIFTY_F1,44731.3008,44738.0,44726.4492,44738.0,12285,1893645,0.00015202550316553836,-1,1,1
BANKNIFTY_F1,44738.0,44741.4492,44731.8008,44738.0,16950,1893645,0.0,-1,0,1
BANKNIFTY_F1,44739.9492,44739.9492,44731.1992,44736.5,9315,1893645,-3.3529106061292924e-05,1,0,-1
