,ts_momentum,ts_mean_reversion,ts_seasonality,ts_regime_adaptive,xs_momentum,xs_mean_reversion,xs_seasonality,xs_residual_momentum
AARTIIND,,,,,0.5892378382637516,-0.627599345354032,-0.29138263583596946,-0.347115043635587
ABB,,,,,-0.36946990306591837,-0.4482328206730366,-0.06290570383014284,-0.07345989966448352
ABBOTINDIA,,,,,-0.12950188687052733,0.5980960964680373,0.9517804295985615,-1.8830727488089982
ABCAPITAL,,,,,0.13506316940304283,2.4585539401363152,1.1169195647000891,-0.7753906689294738
ABFRL,,,,,-1.2008198344069785,0.8322572438220824,-1.9328037996889325,-0.7683493019804584
ACC,,,,,-0.06818374578497567,-0.3310874495967503,-2.1432680394140164,-0.3894157310805318
ADANIENT,,,,,0.12461001949478527,-0.629500203924001,-0.19873267316867618,-0.3606535450663627
ADANIPORTS,,,,,0.39715529564278607,0.1421816871790422,-0.31660485787808884,-0.5041284407284082
ALKEM,,,,,2.2879507086715467,-2.5312734944281727,-0.7276040343618172,2.0198105961297936
AMARAJABAT,,,,,-6.212427033699978,-8.054684515807253,-8.962534565473234,-1.8774841352991107
AMBUJACEM,,,,,0.8549750792014115,-0.19388690052278842,0.568945948818237,0.10307346352780343
APLLTD,,,,,-6.85890171696708,-7.482118070239224,-11.603417227565826,
APOLLOHOSP,,,,,0.1635169662263463,1.3549261749839,0.2282885596049521,-0.3017346960022007
APOLLOTYRE,,,,,1.3490914042276878,0.25919636376368244,0.4454836351698016,1.569074264100319
ASHOKLEY,,,,,0.19169553790735175,0.21861280489999427,1.4469561716914365,-0.09044684674760181
ASIANPAINT,,,,,0.06230480791758942,0.9181762993394321,-1.3467654169153824,0.10330153881592616
ASTRAL,,,,,0.30407856285995594,-0.62215699996395,0.24852251693637786,-1.303054176979286
ATUL,,,,,0.028573041001936868,1.39034577550328,-0.9368536280550289,-0.7857620682023212
AUBANK,,,,,-1.0331040130539968,1.1954795465195598,-0.8573411835710248,-0.7410672999071483
AUROPHARMA,,,,,1.6951978284800904,-1.078731103903233,0.5850267255902528,2.7990130683203147
AXISBANK,,,,,-0.9107679759580635,0.4617699782222322,0.45621779313149474,-0.2830405612713102
BAJAJ-AUTO,,,,,0.6513986494704666,-0.7741869345397215,0.9312226332377332,1.4491702905060395
BAJAJFINSV,,,,,-0.675107782651053,1.4519743938048453,0.15297970070596328,-0.9931083035336807
BAJFINANCE,,,,,-0.05697933534915458,0.9648980212270211,-0.6684298870686806,-0.7620762241223202
BALKRISIND,,,,,-1.1196225974463119,1.1278638337235272,1.6599273673940034,-1.5659500054883035
BALRAMCHIN,,,,,0.07768630227676634,-0.24731903064861185,-1.1342281578777262,-1.0933956780828957
BANDHANBNK,,,,,0.20729558564672085,-0.8506047933655457,-0.5143509608452073,-1.2930024359430068
BANKBARODA,,,,,-0.8131862973973231,0.10021107996837225,-0.25343651018730806,-1.2544358701794223
BANKNIFTY,-1.1752718109457354,-0.8005413241650341,0.2106450716402673,-1.7666275059168277,,,,
BATAINDIA,,,,,-0.8326108442020171,1.4317106591284186,-0.487425848927167,0.4876765748878708
BEL,,,,,0.7259985750643966,-1.0189303767821916,0.30167083017550284,0.285094453245643
BERGEPAINT,,,,,-0.6002130146379602,1.4301049732261697,-0.9212173980916415,1.12857451785224
BHARATFORG,,,,,0.41140061773383635,-0.7506421332371965,-0.4412983210358284,0.009794159512847175
BHARTIARTL,,,,,-1.9785697704406522,1.7009840154846618,-1.5412147339194264,-1.0168400463098215
BHEL,,,,,0.8589985578683288,-0.7907828818796891,0.3648930217106708,1.5906243865034633
BIOCON,,,,,0.19856661672285814,1.3603212876643216,0.17773364862709987,0.21234313166731977
BOSCHLTD,,,,,-1.1587700942129904,-1.0797248336765095,-0.4400923423594535,-0.6266923605464176
BPCL,,,,,0.970406106639008,-0.7762756426197597,-1.1921027868133853,1.752894041076909
BRITANNIA,,,,,0.5577834597771058,-1.639290329813309,-1.1276985678375353,0.1622968311409316
BSOFT,,,,,2.1156898605844017,-2.381926486057825,0.01760774800035364,1.1040785734170901
CADILAHC,,,,,-5.826364690928425,-8.787014432460303,-27.421247436941076,
CANBK,,,,,-1.4956983997696658,-0.01583806670102493,-0.11487573619328244,-1.6515199092146313
CANFINHOME,,,,,0.4782366790436357,-0.018705780421728095,0.26045579094274807,-0.14975633260307172
CHAMBLFERT,,,,,-0.669572458656004,0.5686672812198427,-0.5396198882309485,-1.0265835201686424
CHOLAFIN,,,,,1.4852482322526424,-1.0302395606439987,0.6473082921262074,1.1600870103706324
CIPLA,,,,,0.3717457928863217,0.6553438064463208,-0.010376741977362542,0.10970787367303783
COALINDIA,,,,,0.056802712472292606,-0.4539230758368009,0.7550351610703482,0.3304911257034974
COFORGE,,,,,1.3854936195007543,-1.1316612752342605,0.6568560401578144,-1.2469272123462722
COLPAL,,,,,0.8004275135835001,-0.12229824039802492,0.10323726698878187,0.17919495510362138
CONCOR,,,,,-0.16921701775418935,0.6197523463618493,0.49844698154483774,0.14517162853136498
COROMANDEL,,,,,-1.4632652579737297,1.7120206906390951,-0.9369780985744578,-2.647545046823513
CROMPTON,,,,,-0.8052924374899814,2.1900354184117194,0.4128888055854698,-1.3374203222670633
CUB,,,,,-0.3304738378743425,0.1188814307555705,0.005161120871743824,0.48563373944275684
CUMMINSIND,,,,,0.8199399785547032,0.8752683178540568,0.5405409576564892,0.6933141865927072
DABUR,,,,,-1.904686209350131,1.1845252977678824,-0.5219060648264804,-0.7798927076877183
DALBHARAT,,,,,0.2630012048086538,-1.253433602877961,-0.5745063986567375,1.0588389212088438
DEEPAKNTR,,,,,-0.11361601352741652,-0.5197000971884488,-0.6443061254127684,0.12481201383654277
DELTACORP,,,,,0.926017630614922,1.53572313598203,-0.14113968235942265,0.5518174872783836
DIVISLAB,,,,,-0.6839738271550887,-0.35600643282804156,-0.5710660915520092,-0.3923190675789417
DIXON,,,,,2.029367989625511,-0.9412942195153745,-0.33839007439601654,2.3012774842890305
DLF,,,,,1.269420446309357,-0.8674625224538787,1.4645039177854964,1.1588667981231717
DRREDDY,,,,,0.9853614091766046,-0.19606645809144493,0.220944743954574,-0.5479583910071363
EICHERMOT,,,,,0.9566270206046477,1.1113815279661858,-0.9867671930685988,-1.108369354289325
ESCORTS,,,,,1.0409080271714604,-0.345523087255449,0.9321135967500872,1.1792853459536
EXIDEIND,,,,,-1.244043743259939,0.2182301672212459,0.9125996367935099,0.7077414458568786
FEDERALBNK,,,,,-1.7954079796988531,1.1007022744325954,-0.33065130057514497,-0.7942878268261903
FINNIFTY,-0.32420113968520003,-1.2977040158287731,0.579262027938604,-1.4409976854415085,,,,
FSL,,,,,0.3007737208432701,0.08913320045114807,-1.0831388932856234,0.1228239247585123
GAIL,,,,,-0.3863016744932672,0.27024149565483235,0.35114573748845745,-0.1863794984849841
GLENMARK,,,,,0.0515359922353578,0.574257630534676,0.8109116922106511,0.009351962113804037
GMRINFRA,,,,,1.414470555327836,-1.3051134738616892,1.9597117400754496,2.216256237441095
GNFC,,,,,-1.743668725515654,1.3271307657795681,0.06981882033691532,-2.285353447019203
GODREJCP,,,,,-1.0410370561027371,0.9199066975884955,-0.2144008256835953,-0.02520508030087834
GODREJPROP,,,,,-0.19990255588665123,-0.8584704396870494,-0.06851653120009132,-1.02427136377292
GRANULES,,,,,-0.3356086893509019,0.0763771389401962,-0.3375121442196213,-0.997761499470121
GRASIM,,,,,0.38408201562575106,1.2690710783818677,1.691427047755191,-1.7003135816949524
GSPL,,,,,-6.2321299309163845,-8.134245832924977,-18.459088280542087,-1.7566492778786462
GUJGASLTD,,,,,0.5001164791435034,1.3257843065587096,-3.0004174979939804,-0.4631666524847403
HAL,,,,,2.238240169311462,-1.1340369545265225,2.5120479361312587,1.9151024045335103
HAVELLS,,,,,-2.477349829054122,1.5787049264182302,0.7498151251187566,-2.5604304986167628
HCLTECH,,,,,0.4855608799145736,-0.05413740813207857,-0.9570745949891434,-1.5220002784940119
HDFC,,,,,-1.088556519282004,0.9922964667071181,1.3647100596374324,-2.3709097217972883
HDFCAMC,,,,,-0.02795114472708947,0.3883974168262507,-1.6484451589212812,-0.2782895613328106
HDFCBANK,,,,,-1.09491482903122,0.6339631829595966,-0.002392691964338777,-1.4295670695008023
HDFCLIFE,,,,,0.4637571694847715,1.6163648172348075,0.616319855270937,-0.09475980286540298
HEROMOTOCO,,,,,0.026286410091470758,0.014161149414486958,-0.9621800452902269,-0.17318923420929597
HINDALCO,,,,,0.4513896842150096,0.9037042206643416,-0.803385534910036,-0.7393545204371083
HINDCOPPER,,,,,1.8517836290674399,-1.4043312842544236,-0.13308749311824478,1.4025062684379048
HINDPETRO,,,,,0.5867026905829198,-0.13818764511073123,-0.6265793174155132,0.8271512489024654
HINDUNILVR,,,,,-1.873076181668288,0.2772081670069102,-0.411468180478888,-0.3490450119582017
HONAUT,,,,,0.961247609067059,0.28994814614259434,0.2918605512644996,0.04820924958490087
IBULHSGFIN,,,,,1.6728045993216512,-0.20363291818347865,-0.9093028454331806,0.21462369115282212
ICICIBANK,,,,,-1.0284635625565646,0.29939061543676926,-0.06517651278319116,0.7878681602297031
ICICIGI,,,,,-0.04582728079506393,1.2957818832393713,0.02773915972391124,-0.02230328633030723
ICICIPRULI,,,,,-0.5309322480593892,-0.6871735478138431,1.330837643412475,-2.3279644121286074
IDEA,,,,,-1.1808321418869436,-0.4138682944814774,-0.8565140855628521,-0.8023389166699023
