,xs_mean_reversion
AARTIIND,-0.22360417151172404
ABB,-0.24169747959041377
ABBOTINDIA,0.8389098441460531
ABCAPITAL,-0.8266401263938602
ABFRL,-0.24979405928809717
ACC,-0.13282671173889735
ADANIENT,-1.5929273663235322
ADANIPORTS,-0.7825731308312842
ALKEM,-0.10850831471769767
AMARAJABAT,-49.46716403898996
AMBUJACEM,-0.5508421583235837
APLLTD,
APOLLOHOSP,1.0827502406048104
APOLLOTYRE,0.14947491888286438
ASHOKLEY,0.6003973476138412
ASIANPAINT,1.1352343679758699
ASTRAL,-0.5352405791409153
ATUL,-0.39156693663097214
AUBANK,0.14525707819251235
AUROPHARMA,-3.044726048070478
AXISBANK,0.0355634884352091
BAJAJ-AUTO,-0.7213867321911469
BAJAJFINSV,-0.8448665994052758
BAJFINANCE,0.3878769883678073
BALKRISIND,-0.9511025623000114
BALRAMCHIN,2.2322739046777778
BANDHANBNK,0.2281167593702539
BANKBARODA,0.7650572687667412
BATAINDIA,1.4768528340990557
BEL,-0.1913438170128563
BERGEPAINT,1.4435861791652542
BHARATFORG,1.6151402393820382
BHARTIARTL,0.19713147772857723
BHEL,-1.895671779708004
BIOCON,1.071109336223247
BOSCHLTD,1.0293947101537562
BPCL,0.40139308954207054
BRITANNIA,1.4235404991165423
BSOFT,-0.8229888706410522
CADILAHC,
CANBK,1.5030723301707378
CANFINHOME,0.555702280390136
CHAMBLFERT,2.508553477230991
CHOLAFIN,-0.21226124865618085
CIPLA,0.08248538444885126
COALINDIA,-1.8116723295462451
COFORGE,-1.546926992542875
COLPAL,-0.5387124636766855
CONCOR,0.36347178217347653
COROMANDEL,1.813841647607958
CROMPTON,-1.4679274476775512
CUB,1.5381923279668879
CUMMINSIND,-0.6891419783922533
DABUR,-0.3395549338866963
DALBHARAT,0.45419493551937684
DEEPAKNTR,-0.5071031359635779
DELTACORP,2.1953589120621895
DIVISLAB,0.5453870905275109
DIXON,-1.2252936316915397
DLF,0.4344509823902903
DRREDDY,-0.30340721389306297
EICHERMOT,-0.6907040621581271
ESCORTS,-0.6863510403679873
EXIDEIND,-0.9603279281724859
FEDERALBNK,1.0616650554760396
FSL,2.0119829686060395
GAIL,-0.1722311756190312
GLENMARK,-0.16169851726343198
GMRINFRA,0.21889940319747148
GNFC,2.5035384071339433
GODREJCP,1.5690680901545797
GODREJPROP,-0.35798722331240035
GRANULES,3.0054726985252613
GRASIM,1.4964815940836043
GSPL,
GUJGASLTD,1.9852440045085893
HAL,-1.288205425876554
HAVELLS,-0.394462166654926
HCLTECH,-1.0810487416500096
HDFC,-1.0379500504389092
HDFCAMC,0.5831283673324695
HDFCBANK,0.2588280871604951
HDFCLIFE,-1.1358269177241305
HEROMOTOCO,0.2358292982260925
HINDALCO,1.8955407069134411
HINDCOPPER,2.7095501792784136
HINDPETRO,-0.9443395393303738
HINDUNILVR,-0.6175108760321816
HONAUT,0.17852385040202476
IBULHSGFIN,1.9804717442039041
ICICIBANK,1.6608016237823389
ICICIGI,1.7899134757211077
ICICIPRULI,-2.38140363647354
IDEA,6.645255904930848
IDFC,1.182283095179501
IDFCFIRSTB,0.32804531522917113
IEX,-1.0714486726277639
IGL,-0.22462610351250048
INDHOTEL,0.623932804217684
INDIACEM,2.60323828218365
INDIAMART,0.38152783253452405
INDIGO,-0.26883302913477275
INDUSINDBK,-0.773273795242451
INDUSTOWER,-1.7608253183390814
INFY,-1.9594815676748076
INTELLECT,1.3482166060084935
IOC,-0.9317309990122833
IPCALAB,-0.5645029342865642
IRCTC,-1.663058637864965
ITC,-0.41575862206405323
JINDALSTEL,-0.10222182385937911
JKCEMENT,1.1821937187947495
JSWSTEEL,2.8452528233039733
JUBLFOOD,-2.147144441156302
KOTAKBANK,0.24777064324885925
L&TFH,0.7838122929409413
LALPATHLAB,1.6714766794993317
LAURUSLABS,0.4261816914435104
LICHSGFIN,0.6700647253793989
LT,-0.7177217934518063
LTI,
LTIM,-1.4079402105159744
LTTS,-0.7376693718063143
LUPIN,-1.117501254513367
M&M,-0.39567427576545144
M&MFIN,0.5040650455347637
MANAPPURAM,2.244759923408557
MARICO,-0.3151923693451596
MARUTI,-1.215838981524619
MCDOWELL-N,0.07250961162700525
MCX,-0.14157437286817653
METROPOLIS,0.6668083154157852
MFSL,-0.11586000597321246
MGL,-1.1009490961865078
MINDTREE,
MOTHERSON,0.6106628953829858
MOTHERSUMI,
MPHASIS,-0.22382443462252355
MRF,-0.20282766509548497
MUTHOOTFIN,1.9558431051251817
NATIONALUM,0.7231532929481822
NAUKRI,1.011522454253959
NAVINFLUOR,0.604834774891249
NBCC,
NESTLEIND,-0.35146474552320456
NMDC,-0.02965459259029344
NTPC,-0.1900452015025672
OBEROIRLTY,0.8430874226914997
OFSS,1.381311736109984
ONGC,0.04725416324683832
PAGEIND,-0.41763734430983307
PEL,0.35850607819444824
PERSISTENT,-1.712337299639087
