,xs_mean_reversion
PETRONET,0.43585594616518647
PFC,-1.2231330933958235
PFIZER,
PIDILITIND,0.7838479778818648
PIIND,-0.4955771531345651
PNB,1.4759797593644983
POLYCAB,-1.0608085283963502
POWERGRID,-1.3663552729196287
PVR,2.6055666286263115
PVRINOX,-1.0954625076079834
RAIN,0.10471036948602436
RAMCOCEM,1.3476427645146427
RBLBANK,0.28087717487343244
RECLTD,-1.6977867800370605
RELIANCE,0.39367767505163415
SAIL,1.748991978517723
SBICARD,-0.025295039781773138
SBILIFE,-0.9898798991495406
SBIN,-0.7933898547810326
SHREECEM,0.019862245231819387
SHRIRAMFIN,-0.4146312287344611
SIEMENS,-1.3247484916990089
SRF,1.4331713967835238
SRTRANSFIN,-49.785006122227685
STAR,
SUNPHARMA,0.1767211349957255
SUNTV,1.592302339050807
SYNGENE,2.0479751034306166
TATACHEM,-1.0822811169940616
TATACOMM,-1.0935700580935852
TATACONSUM,-0.5629904269151776
TATAMOTORS,-1.750541903082105
TATAPOWER,-1.3391089056669814
TATASTEEL,0.13585651972230064
TCS,-1.8009013416045403
TECHM,-1.328012395326842
TITAN,0.15232269218233999
TORNTPHARM,0.7486827387494066
TORNTPOWER,-2.1352242574543947
TRENT,1.4182181859923229
TVSMOTOR,-0.123213325498378
UBL,-0.08162690768871757
ULTRACEMCO,-0.10570847058005099
UPL,0.7830386957320012
VEDL,-0.3655226688063377
VOLTAS,-1.2457747533088634
WHIRLPOOL,0.9488312718534392
WIPRO,-1.8664365627784256
ZEEL,-0.2140948313290798
ZYDUSLIFE,-0.023169578955446062
